race,circuit,driver,grid,actual_stops,actual_comp,actual_pits,p1_stops,p1_comp,p1_pits,set1,ord1,stop1,set_topk,ord_topk,in_short,pit_err_first,pit_err_all
2025R21,São Paulo,COL,16,2,MEDIUM-SOFT-MEDIUM,"[29, 43]",1,MEDIUM-HARD,[30],0,0,0,0,0,1,,
2025R21,São Paulo,TSU,17,2,MEDIUM-MEDIUM-MEDIUM,"[24, 47]",1,MEDIUM-HARD,[30],0,0,0,0,0,0,,
2025R21,São Paulo,VER,19,3,HARD-MEDIUM-MEDIUM-SOFT,"[7, 34, 54]",1,MEDIUM-HARD,[30],0,0,0,0,0,1,,
2025R21,São Paulo,OCO,20,2,HARD-MEDIUM-MEDIUM,"[8, 47]",1,MEDIUM-HARD,[30],0,0,0,1,0,1,,
2025R20,Mexico City,NOR,1,1,SOFT-MEDIUM,[34],1,MEDIUM-HARD,[28],0,0,1,0,0,1,6,[6]
2025R20,Mexico City,LEC,2,1,SOFT-MEDIUM,[31],1,MEDIUM-HARD,[28],0,0,1,0,0,1,3,[3]
2025R20,Mexico City,HAM,3,2,SOFT-MEDIUM-SOFT,"[23, 47]",1,MEDIUM-HARD,[28],0,0,0,0,0,1,,
2025R20,Mexico City,RUS,4,2,SOFT-MEDIUM-SOFT,"[25, 48]",1,MEDIUM-HARD,[28],0,0,0,0,0,1,,
2025R20,Mexico City,VER,5,1,MEDIUM-SOFT,[37],1,MEDIUM-HARD,[28],0,0,1,0,0,1,9,[9]
2025R20,Mexico City,ANT,6,2,SOFT-MEDIUM-SOFT,"[22, 47]",1,MEDIUM-HARD,[28],0,0,0,0,0,1,,
2025R20,Mexico City,PIA,7,2,SOFT-MEDIUM-SOFT,"[24, 47]",1,MEDIUM-HARD,[28],0,0,0,0,0,1,,
2025R20,Mexico City,HAD,8,1,MEDIUM-SOFT,[34],1,MEDIUM-HARD,[28],0,0,1,0,0,1,6,[6]
2025R20,Mexico City,BEA,9,2,SOFT-MEDIUM-SOFT,"[24, 48]",1,MEDIUM-HARD,[28],0,0,0,0,0,1,,
2025R20,Mexico City,TSU,10,1,MEDIUM-SOFT,[36],1,MEDIUM-HARD,[28],0,0,1,0,0,1,8,[8]
2025R20,Mexico City,OCO,11,1,SOFT-MEDIUM,[27],1,MEDIUM-HARD,[28],0,0,1,0,0,1,1,[1]
2025R20,Mexico City,SAI,12,3,MEDIUM-SOFT-SOFT-SOFT,"[17, 46, 56]",1,MEDIUM-HARD,[28],0,0,0,0,0,0,,
2025R20,Mexico City,BOR,16,1,MEDIUM-SOFT,[37],1,MEDIUM-HARD,[28],0,0,1,0,0,1,9,[9]
2025R20,Mexico City,ALB,17,1,HARD-SOFT,[41],1,MEDIUM-HARD,[28],0,0,1,0,0,1,13,[13]
2025R20,Mexico City,GAS,18,1,MEDIUM-SOFT,[33],1,MEDIUM-HARD,[28],0,0,1,0,0,1,5,[5]
2025R20,Mexico City,STR,19,2,SOFT-MEDIUM-SOFT,"[26, 43]",1,MEDIUM-HARD,[28],0,0,0,0,0,1,,
2025R20,Mexico City,COL,20,1,HARD-SOFT,[48],1,MEDIUM-HARD,[28],0,0,1,0,0,1,20,[20]
2025R15,Zandvoort,PIA,1,2,MEDIUM-HARD-HARD,"[23, 53]",1,MEDIUM-HARD,[31],0,0,0,0,0,1,,
2025R15,Zandvoort,NOR,2,2,MEDIUM-HARD-HARD,"[23, 53]",1,MEDIUM-HARD,[31],0,0,0,0,0,1,,
2025R15,Zandvoort,VER,3,2,SOFT-MEDIUM-SOFT,"[23, 53]",1,MEDIUM-HARD,[31],0,0,0,1,0,1,,
2025R15,Zandvoort,HAD,4,2,MEDIUM-HARD-SOFT,"[23, 53]",1,MEDIUM-HARD,[31],0,0,0,0,0,1,,
2025R15,Zandvoort,RUS,5,2,MEDIUM-HARD-SOFT,"[23, 53]",1,MEDIUM-HARD,[31],0,0,0,0,0,1,,
2025R15,Zandvoort,LAW,8,2,MEDIUM-SOFT-SOFT,"[23, 52]",1,MEDIUM-HARD,[31],0,0,0,1,0,1,,
2025R15,Zandvoort,SAI,9,3,MEDIUM-SOFT-SOFT-SOFT,"[23, 51, 65]",1,MEDIUM-HARD,[31],0,0,0,0,0,0,,
2025R15,Zandvoort,ALO,10,2,MEDIUM-HARD-HARD,"[18, 40]",1,MEDIUM-HARD,[31],0,0,0,0,0,1,,
2025R15,Zandvoort,ANT,11,2,MEDIUM-HARD-SOFT,"[23, 51]",1,MEDIUM-HARD,[31],0,0,0,0,0,1,,
2025R15,Zandvoort,TSU,12,2,SOFT-HARD-SOFT,"[19, 53]",1,MEDIUM-HARD,[31],0,0,0,0,0,1,,
2025R15,Zandvoort,BOR,13,2,MEDIUM-HARD-SOFT,"[22, 60]",1,MEDIUM-HARD,[31],0,0,0,0,0,1,,
2025R15,Zandvoort,GAS,14,1,MEDIUM-HARD,[23],1,MEDIUM-HARD,[31],1,1,1,1,1,1,8,[8]
2025R15,Zandvoort,ALB,15,2,MEDIUM-HARD-SOFT,"[23, 53]",1,MEDIUM-HARD,[31],0,0,0,0,0,1,,
2025R15,Zandvoort,COL,16,3,SOFT-HARD-MEDIUM-SOFT,"[19, 53, 65]",1,MEDIUM-HARD,[31],0,0,0,0,0,1,,
2025R15,Zandvoort,HUL,17,2,SOFT-HARD-MEDIUM,"[19, 53]",1,MEDIUM-HARD,[31],0,0,0,0,0,1,,
2025R15,Zandvoort,OCO,18,1,HARD-MEDIUM,[52],1,MEDIUM-HARD,[31],1,0,1,1,0,1,21,[21]
2025R15,Zandvoort,STR,19,2,MEDIUM-HARD-HARD,"[8, 52]",1,MEDIUM-HARD,[31],0,0,0,0,0,1,,
2025R15,Zandvoort,BEA,20,1,HARD-MEDIUM,[53],1,MEDIUM-HARD,[31],1,0,1,1,0,1,22,[22]
